phase,dataset,setting,accuracy_pct,truncation_failure_pct,samples,phase_brief_description,phase_result_summary,source
1,gsm8k,8-bit Baseline,76.67,0.00,30,"Establish the initial 8-bit baseline before aggressive compression or mitigation.","Strong baseline performance on GSM8K with zero truncation; this row defines the reference point for later degradation and recovery analysis.","DL23.ipynb Phase 6 arrays and summary"
2,gsm8k,4-bit Degraded,60.00,6.67,30,"Quantize to 4-bit and measure direct quality loss without mitigation.","Math accuracy drops versus Phase 1 and truncation appears, showing that low-bit compression hurts reasoning stability and answer quality.","DL23.ipynb Phase 6 arrays"
4,gsm8k,4-bit + QLoRA,46.67,0.00,30,"Apply QLoRA adapters to recover structure after quantization damage.","QLoRA eliminates truncation on GSM8K but accuracy remains below baseline, indicating structural repair with an alignment tax on final task accuracy.","DL23.ipynb Phase 6 arrays"
5,gsm8k,4-bit + Decoding (Greedy Logic),76.67,0.00,30,"Use decoding-time controls as a low-cost mitigation strategy.","Greedy decoding recovers baseline-level GSM8K accuracy with zero truncation, showing decoding policy can outperform fine-tuning for this math subset.","DL23.ipynb Phase 6 arrays; phase5_decoding_results.csv"
2,gpqa,4-bit Degraded (baseline decoding),20.00,53.33,30,"Quantize to 4-bit and measure direct quality loss without mitigation.","GPQA is near chance-level and heavily truncated, indicating severe instability on harder scientific reasoning under 4-bit degradation.","DL23.ipynb Phase 6 arrays; phase5_decoding_results_gpqa.csv"
4,gpqa,4-bit + QLoRA,26.67,13.33,30,"Apply QLoRA adapters to recover structure after quantization damage.","QLoRA improves GPQA over degraded baseline and sharply lowers truncation, but accuracy gains are moderate and still capacity-limited.","DL23.ipynb Phase 6 arrays"
5,gpqa,4-bit + Decoding (Loop Breaker 2),36.67,26.67,30,"Use decoding-time controls as a low-cost mitigation strategy.","Loop-breaker decoding gives the best GPQA accuracy among Phase 2/4/5 comparisons, trading higher residual truncation for better answer completion and score.","DL23.ipynb Phase 6 arrays; phase5_decoding_results_gpqa.csv"
7,gsm8k,Phase 7 QLoRA SFT (NF4/NF4+KV avg),38.33,0.00,30,"Run controlled QLoRA SFT with NF4 and NF4+KV settings to study quantization-side effects.","Phase 7 averages show stable formatting with no truncation on GSM8K, but reasoning accuracy remains limited despite SFT.","phase8_grpo_experiment/reports/phase7_vs_phase8_comparison.csv"
7,gpqa,Phase 7 QLoRA SFT (NF4/NF4+KV avg),20.00,13.33,30,"Run controlled QLoRA SFT with NF4 and NF4+KV settings to study quantization-side effects.","Phase 7 GPQA remains low with non-zero truncation, highlighting persistent difficulty on expert-level science reasoning under heavy quantization.","phase8_grpo_experiment/reports/phase7_vs_phase8_comparison.csv"
8,gsm8k,Phase 8 GRPO,15.00,0.00,20,"Pilot GRPO reinforcement learning to optimize response behavior after SFT stages.","On the 20-sample eval split, GSM8K underperforms Phase 7, suggesting the pilot RL configuration did not transfer well to arithmetic generalization.","phase8_grpo_experiment/reports/phase8_metrics.csv"
8,gpqa,Phase 8 GRPO,30.00,0.00,20,"Pilot GRPO reinforcement learning to optimize response behavior after SFT stages.","On the 20-sample eval split, GPQA improves over Phase 7 and removes truncation, indicating better concise answer behavior for scientific prompts.","phase8_grpo_experiment/reports/phase8_metrics.csv"
