ablation_group,dataset,variant,accuracy_pct,loop_failure_pct,truncation_failure_pct,samples,ablation_group_brief_description,ablation_result_summary,source_file
Phase5_Decoding,gsm8k,Baseline,66.67,0.00,3.33,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Baseline decoding gives moderate math accuracy with small truncation and acts as the control for this ablation section.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gsm8k,Greedy Logic,80.00,0.00,0.00,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Best GSM8K accuracy with zero truncation, indicating deterministic low-temperature decoding is strongest for arithmetic prompts.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gsm8k,High Variance,70.00,0.00,0.00,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Accuracy is lower than the best settings but truncation is eliminated, so outputs are stable but less precise.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gsm8k,Loop Breaker 1,70.00,0.00,3.33,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Mid-level accuracy with residual truncation shows loop-control helps but does not fully optimize the tradeoff.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gsm8k,Loop Breaker 2,80.00,0.00,3.33,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Ties top GSM8K accuracy but keeps minor truncation, making it strong but less clean than Greedy Logic.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gsm8k,Prob Clipping,70.00,0.00,6.67,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Maintains mid-level accuracy but has the highest GSM8K truncation in this sweep, so clipping is not the preferred setting.",Quantization_Reasoning_Project/phase5_decoding_results.csv
Phase5_Decoding,gpqa,Baseline,20.00,0.00,53.33,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Near-chance GPQA accuracy with very high truncation confirms unstable long-form scientific reasoning under baseline decoding.",Quantization_Reasoning_Project/phase5_decoding_results_gpqa.csv
Phase5_Decoding,gpqa,Greedy Logic,26.67,0.00,63.33,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Accuracy improves slightly but truncation worsens to the highest level, so deterministic decoding alone is insufficient for GPQA.",Quantization_Reasoning_Project/phase5_decoding_results_gpqa.csv
Phase5_Decoding,gpqa,High Variance,30.00,0.00,56.67,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Moderate GPQA improvement is offset by high truncation, reflecting partial benefit with persistent completion failures.",Quantization_Reasoning_Project/phase5_decoding_results_gpqa.csv
Phase5_Decoding,gpqa,Loop Breaker 1,16.67,0.00,30.00,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Truncation drops substantially but accuracy falls, showing aggressive loop suppression can reduce useful reasoning depth.",Quantization_Reasoning_Project/phase5_decoding_results_gpqa.csv
Phase5_Decoding,gpqa,Loop Breaker 2,36.67,0.00,26.67,30,"Phase 5 ablates decoding-time controls on a 4-bit model without retraining to test if inference policy can recover reasoning.","Best GPQA accuracy and lowest truncation among Phase 5 GPQA variants, giving the strongest overall tradeoff.",Quantization_Reasoning_Project/phase5_decoding_results_gpqa.csv
